title,heading,content,tokens,context,questions,answers
Clinical trial,Summary,"Clinical trials are prospective biomedical or behavioral research studies on human participants designed to answer specific questions about biomedical or behavioral interventions, including new treatments (such as novel vaccines, drugs, dietary choices, dietary supplements, and medical devices) and known interventions that warrant further study and comparison. Clinical trials generate data on dosage, safety and efficacy. They are conducted only after they have received health authority/ethics committee approval in the country where approval of the therapy is sought. These authorities are responsible for vetting the risk/benefit ratio of the trial—their approval does not mean the therapy is 'safe' or effective, only that the trial may be conducted.
Depending on product type and development stage, investigators initially enroll volunteers or patients into small pilot studies, and subsequently conduct progressively larger scale comparative studies. Clinical trials can vary in size and cost, and they can involve a single research center or multiple centers, in one country or in multiple countries. Clinical study design aims to ensure the scientific validity and reproducibility of the results.
Costs for clinical trials can range into the billions of dollars per approved drug. The sponsor may be a governmental organization or a pharmaceutical, biotechnology or medical device company. Certain functions necessary to the trial, such as monitoring and lab work, may be managed by an outsourced partner, such as a contract research organization or a central laboratory. Only 10 percent of all drugs started in human clinical trials become approved drugs.",292,"Clinical trial
Summary

Clinical trials are prospective biomedical or behavioral research studies on human participants designed to answer specific questions about biomedical or behavioral interventions, including new treatments (such as novel vaccines, drugs, dietary choices, dietary supplements, and medical devices) and known interventions that warrant further study and comparison. Clinical trials generate data on dosage, safety and efficacy. They are conducted only after they have received health authority/ethics committee approval in the country where approval of the therapy is sought. These authorities are responsible for vetting the risk/benefit ratio of the trial—their approval does not mean the therapy is 'safe' or effective, only that the trial may be conducted.
Depending on product type and development stage, investigators initially enroll volunteers or patients into small pilot studies, and subsequently conduct progressively larger scale comparative studies. Clinical trials can vary in size and cost, and they can involve a single research center or multiple centers, in one country or in multiple countries. Clinical study design aims to ensure the scientific validity and reproducibility of the results.
Costs for clinical trials can range into the billions of dollars per approved drug. The sponsor may be a governmental organization or a pharmaceutical, biotechnology or medical device company. Certain functions necessary to the trial, such as monitoring and lab work, may be managed by an outsourced partner, such as a contract research organization or a central laboratory. Only 10 percent of all drugs started in human clinical trials become approved drugs.","1. What is the purpose of a clinical trial?
2. What is the risk/benefit ratio of a clinical trial?
3. What are the costs for a clinical trial?
4. Who sponsors clinical trials?
5. What is the success rate for clinical trials?","1. The purpose of a clinical trial is to answer specific questions about biomedical or behavioral interventions.
2. The risk/benefit ratio of a clinical trial is the ratio of the risks and benefits of the trial.
3. The costs for a clinical trial can range into the billions of dollars per approved drug.
4. The sponsor of a clinical trial can be a governmental organization or a pharmaceutical, biotechnology or medical device company.
5. The success rate for clinical trials is 10 percent."
Clinical trial,Trials of drugs,"Some clinical trials involve healthy subjects with no pre-existing medical conditions. Other clinical trials pertain to people with specific health conditions who are willing to try an experimental treatment. Pilot experiments are conducted to gain insights for design of the clinical trial to follow.
There are two goals to testing medical treatments: to learn whether they work well enough, called ""efficacy"" or ""effectiveness""; and to learn whether they are safe enough, called ""safety"". Neither is an absolute criterion; both safety and efficacy are evaluated relative to how the treatment is intended to be used, what other treatments are available, and the severity of the disease or condition. The benefits must outweigh the risks.: 8  For example, many drugs to treat cancer have severe side effects that would not be acceptable for an over-the-counter pain medication, yet the cancer drugs have been approved since they are used under a physician's care and are used for a life-threatening condition.In the US, the elderly constitute 14% of the population, while they consume over one-third of drugs. People over 55 (or a similar cutoff age) are often excluded from trials because their greater health issues and drug use complicate data interpretation, and because they have different physiological capacity than younger people. Children and people with unrelated medical conditions are also frequently excluded. Pregnant women are often excluded due to potential risks to the fetus.
The sponsor designs the trial in coordination with a panel of expert clinical investigators, including what alternative or existing treatments to compare to the new drug and what type(s) of patients might benefit. If the sponsor cannot obtain enough test subjects at one location investigators at other locations are recruited to join the study.
During the trial, investigators recruit subjects with the predetermined characteristics, administer the treatment(s) and collect data on the subjects' health for a defined time period. Data include measurements such as vital signs, concentration of the study drug in the blood or tissues, changes to symptoms, and whether improvement or worsening of the condition targeted by the study drug occurs. The researchers send the data to the trial sponsor, who then analyzes the pooled data using statistical tests.
Examples of clinical trial goals include assessing the safety and relative effectiveness of a medication or device:

On a specific kind of patient
At varying dosages
For a new indication
Evaluation for improved efficacy in treating a condition as compared to the standard therapy for that condition
Evaluation of the study drug or device relative to two or more already approved/common interventions for that conditionWhile most clinical trials test one alternative to the novel intervention, some expand to three or four and may include a placebo.
Except for small, single-location trials, the design and objectives are specified in a document called a clinical trial protocol. The protocol is the trial's ""operating manual"" and ensures all researchers perform the trial in the same way on similar subjects and that the data is comparable across all subjects.
As a trial is designed to test hypotheses and rigorously monitor and assess outcomes, it can be seen as an application of the scientific method, specifically the experimental step.
The most common clinical trials evaluate new pharmaceutical products, medical devices, biologics, diagnostic assays, psychological therapies, or other interventions. Clinical trials may be required before a national regulatory authority approves marketing of the innovation.",682,"Clinical trial
Trials of drugs

Some clinical trials involve healthy subjects with no pre-existing medical conditions. Other clinical trials pertain to people with specific health conditions who are willing to try an experimental treatment. Pilot experiments are conducted to gain insights for design of the clinical trial to follow.
There are two goals to testing medical treatments: to learn whether they work well enough, called ""efficacy"" or ""effectiveness""; and to learn whether they are safe enough, called ""safety"". Neither is an absolute criterion; both safety and efficacy are evaluated relative to how the treatment is intended to be used, what other treatments are available, and the severity of the disease or condition. The benefits must outweigh the risks.: 8  For example, many drugs to treat cancer have severe side effects that would not be acceptable for an over-the-counter pain medication, yet the cancer drugs have been approved since they are used under a physician's care and are used for a life-threatening condition.In the US, the elderly constitute 14% of the population, while they consume over one-third of drugs. People over 55 (or a similar cutoff age) are often excluded from trials because their greater health issues and drug use complicate data interpretation, and because they have different physiological capacity than younger people. Children and people with unrelated medical conditions are also frequently excluded. Pregnant women are often excluded due to potential risks to the fetus.
The sponsor designs the trial in coordination with a panel of expert clinical investigators, including what alternative or existing treatments to compare to the new drug and what type(s) of patients might benefit. If the sponsor cannot obtain enough test subjects at one location investigators at other locations are recruited to join the study.
During the trial, investigators recruit subjects with the predetermined characteristics, administer the treatment(s) and collect data on the subjects' health for a defined time period. Data include measurements such as vital signs, concentration of the study drug in the blood or tissues, changes to symptoms, and whether improvement or worsening of the condition targeted by the study drug occurs. The researchers send the data to the trial sponsor, who then analyzes the pooled data using statistical tests.
Examples of clinical trial goals include assessing the safety and relative effectiveness of a medication or device:

On a specific kind of patient
At varying dosages
For a new indication
Evaluation for improved efficacy in treating a condition as compared to the standard therapy for that condition
Evaluation of the study drug or device relative to two or more already approved/common interventions for that conditionWhile most clinical trials test one alternative to the novel intervention, some expand to three or four and may include a placebo.
Except for small, single-location trials, the design and objectives are specified in a document called a clinical trial protocol. The protocol is the trial's ""operating manual"" and ensures all researchers perform the trial in the same way on similar subjects and that the data is comparable across all subjects.
As a trial is designed to test hypotheses and rigorously monitor and assess outcomes, it can be seen as an application of the scientific method, specifically the experimental step.
The most common clinical trials evaluate new pharmaceutical products, medical devices, biologics, diagnostic assays, psychological therapies, or other interventions. Clinical trials may be required before a national regulatory authority approves marketing of the innovation.","1. What are the goals of a clinical trial?
2. What are the benefits and risks of participating in a clinical trial?
3. What are some reasons why people might be excluded from a clinical trial?
4. How is a clinical trial designed?
5. What is a clinical trial protocol?","1. The goals of a clinical trial are to assess the safety and relative effectiveness of a medication or device.
2. The benefits of participating in a clinical trial include the opportunity to receive an experimental treatment that may be more effective than the standard treatment and the opportunity to help contribute to the body of knowledge about a particular disease or condition. The risks of participating in a clinical trial include the possibility of experiencing adverse effects from the experimental treatment.

3. Some reasons why people might be excluded from a clinical trial include the presence of a pre-existing medical condition, age over 55 (or a similar cutoff age), children, and people with unrelated medical conditions.

4. A clinical trial is designed in coordination with a panel of expert clinical investigators. The investigators recruit subjects with predetermined characteristics and administer the treatment(s). The researchers send the data to the trial sponsor, who then analyzes the pooled data using statistical tests.

5. A clinical trial protocol is a document that specifies the design and objectives of a clinical trial."
Clinical trial,Trials of devices,"Similarly to drugs, manufacturers of medical devices in the United States are required to conduct clinical trials for premarket approval. Device trials may compare a new device to an established therapy, or may compare similar devices to each other. An example of the former in the field of vascular surgery is the Open versus Endovascular Repair (OVER trial) for the treatment of abdominal aortic aneurysm, which compared the older open aortic repair technique to the newer endovascular aneurysm repair device. An example of the latter are clinical trials on mechanical devices used in the management of adult female urinary incontinence.",130,"Clinical trial
Trials of devices

Similarly to drugs, manufacturers of medical devices in the United States are required to conduct clinical trials for premarket approval. Device trials may compare a new device to an established therapy, or may compare similar devices to each other. An example of the former in the field of vascular surgery is the Open versus Endovascular Repair (OVER trial) for the treatment of abdominal aortic aneurysm, which compared the older open aortic repair technique to the newer endovascular aneurysm repair device. An example of the latter are clinical trials on mechanical devices used in the management of adult female urinary incontinence.","1. What is the purpose of clinical trials for medical devices?
2. What are some examples of clinical trials for medical devices?
3. What is the difference between a clinical trial for a new device and a clinical trial for a similar device?","1. The purpose of clinical trials for medical devices is to determine the safety and efficacy of the device.
2. Some examples of clinical trials for medical devices are the Open versus Endovascular Repair (OVER trial) for the treatment of abdominal aortic aneurysm and clinical trials on mechanical devices used in the management of adult female urinary incontinence.
3. The difference between a clinical trial for a new device and a clinical trial for a similar device is that a clinical trial for a new device compares the new device to an established therapy, while a clinical trial for a similar device compares similar devices to each other."
Clinical trial,Trials of procedures,"Similarly to drugs, medical or surgical procedures may be subjected to clinical trials, such as comparing different surgical approaches in treatment of fibroids for subfertility. However, when clinical trials are unethical or logistically impossible in the surgical setting, case-controlled studies will be replaced.",60,"Clinical trial
Trials of procedures

Similarly to drugs, medical or surgical procedures may be subjected to clinical trials, such as comparing different surgical approaches in treatment of fibroids for subfertility. However, when clinical trials are unethical or logistically impossible in the surgical setting, case-controlled studies will be replaced.","1. What is a clinical trial?
2. What is the difference between a clinical trial and a case-controlled study?
3. Why are clinical trials sometimes unethical or logistically impossible?","1. A clinical trial is a research study that tests how well a new medical or surgical procedure works.
2. A clinical trial is different from a case-controlled study, which is a study that compares patients who have a disease or condition with patients who do not have the disease or condition.
3. Clinical trials may be unethical or logistically impossible because they may involve exposing patients to risks that they would not otherwise experience."
Clinical trial,Development,"Although early medical experimentation was performed often, the use of a control group to provide an accurate comparison for the demonstration of the intervention's efficacy was generally lacking. For instance, Lady Mary Wortley Montagu, who campaigned for the introduction of inoculation (then called variolation) to prevent smallpox, arranged for seven prisoners who had been sentenced to death to undergo variolation in exchange for their life. Although they survived and did not contract smallpox, there was no control group to assess whether this result was due to the inoculation or some other factor. Similar experiments performed by Edward Jenner over his smallpox vaccine were equally conceptually flawed.The first proper clinical trial was conducted by the Scottish physician James Lind. The disease scurvy, now known to be caused by a Vitamin C deficiency, would often have terrible effects on the welfare of the crew of long-distance ocean voyages. In 1740, the catastrophic result of Anson's circumnavigation attracted much attention in Europe; out of 1900 men, 1400 had died, most of them allegedly from having contracted scurvy. John Woodall, an English military surgeon of the British East India Company, had recommended the consumption of citrus fruit (it has an antiscorbutic effect) from the 17th century, but their use did not become widespread.Lind conducted the first systematic clinical trial in 1747. He included a dietary supplement of an acidic quality in the experiment after two months at sea, when the ship was already afflicted with scurvy. He divided twelve scorbutic sailors into six groups of two. They all received the same diet but, in addition, group one was given a quart of cider daily, group two twenty-five drops of elixir of vitriol (sulfuric acid), group three six spoonfuls of vinegar, group four half a pint of seawater, group five received two oranges and one lemon, and the last group a spicy paste plus a drink of barley water. The treatment of group five stopped after six days when they ran out of fruit, but by then one sailor was fit for duty while the other had almost recovered. Apart from that, only group one also showed some effect of its treatment.Each year, May 20th is celebrated as Clinical Trials Day in honor of Lind's research. After 1750, the discipline began to take its modern shape. The English doctor John Haygarth demonstrated the importance of a control group for the correct identification of the placebo effect in his celebrated study of the ineffective remedy called Perkin's tractors. Further work in that direction was carried out by the eminent physician Sir William Gull, 1st Baronet in the 1860s.Frederick Akbar Mahomed (d. 1884), who worked at Guy's Hospital in London, made substantial contributions to the process of clinical trials, where ""he separated chronic nephritis with secondary hypertension from what we now term essential hypertension. He also founded the Collective Investigation Record for the British Medical Association; this organization collected data from physicians practicing outside the hospital setting and was the precursor of modern collaborative clinical trials.""",632,"Clinical trial
Development

Although early medical experimentation was performed often, the use of a control group to provide an accurate comparison for the demonstration of the intervention's efficacy was generally lacking. For instance, Lady Mary Wortley Montagu, who campaigned for the introduction of inoculation (then called variolation) to prevent smallpox, arranged for seven prisoners who had been sentenced to death to undergo variolation in exchange for their life. Although they survived and did not contract smallpox, there was no control group to assess whether this result was due to the inoculation or some other factor. Similar experiments performed by Edward Jenner over his smallpox vaccine were equally conceptually flawed.The first proper clinical trial was conducted by the Scottish physician James Lind. The disease scurvy, now known to be caused by a Vitamin C deficiency, would often have terrible effects on the welfare of the crew of long-distance ocean voyages. In 1740, the catastrophic result of Anson's circumnavigation attracted much attention in Europe; out of 1900 men, 1400 had died, most of them allegedly from having contracted scurvy. John Woodall, an English military surgeon of the British East India Company, had recommended the consumption of citrus fruit (it has an antiscorbutic effect) from the 17th century, but their use did not become widespread.Lind conducted the first systematic clinical trial in 1747. He included a dietary supplement of an acidic quality in the experiment after two months at sea, when the ship was already afflicted with scurvy. He divided twelve scorbutic sailors into six groups of two. They all received the same diet but, in addition, group one was given a quart of cider daily, group two twenty-five drops of elixir of vitriol (sulfuric acid), group three six spoonfuls of vinegar, group four half a pint of seawater, group five received two oranges and one lemon, and the last group a spicy paste plus a drink of barley water. The treatment of group five stopped after six days when they ran out of fruit, but by then one sailor was fit for duty while the other had almost recovered. Apart from that, only group one also showed some effect of its treatment.Each year, May 20th is celebrated as Clinical Trials Day in honor of Lind's research. After 1750, the discipline began to take its modern shape. The English doctor John Haygarth demonstrated the importance of a control group for the correct identification of the placebo effect in his celebrated study of the ineffective remedy called Perkin's tractors. Further work in that direction was carried out by the eminent physician Sir William Gull, 1st Baronet in the 1860s.Frederick Akbar Mahomed (d. 1884), who worked at Guy's Hospital in London, made substantial contributions to the process of clinical trials, where ""he separated chronic nephritis with secondary hypertension from what we now term essential hypertension. He also founded the Collective Investigation Record for the British Medical Association; this organization collected data from physicians practicing outside the hospital setting and was the precursor of modern collaborative clinical trials.""","1. What was the first proper clinical trial?
2. Who conducted the first systematic clinical trial?
3. What was the disease scurvy?
4. What did Lady Mary Wortley Montagu do?
5. What was the first clinical trial in history?
6. What did John Haygarth demonstrate?
7. What did Sir William Gull do?
8. What did Frederick Akbar Mahomed do?","1. The first proper clinical trial was conducted by the Scottish physician James Lind.
2. The first systematic clinical trial was conducted by James Lind.
3. The disease scurvy was caused by a Vitamin C deficiency.
4. Lady Mary Wortley Montagu arranged for seven prisoners who had been sentenced to death to undergo variolation in exchange for their life.
5. The first proper clinical trial was conducted by James Lind.
6. John Haygarth demonstrated the importance of a control group for the correct identification of the placebo effect in his celebrated study of the ineffective remedy called Perkin's tractors.
7. Sir William Gull did work in the field of clinical trials in the 1860s.
8. Frederick Akbar Mahomed was a physician who worked at Guy's Hospital in London and made substantial contributions to the process of clinical trials."
Clinical trial,Modern trials,"Sir Ronald A. Fisher, while working for the Rothamsted experimental station in the field of agriculture, developed his Principles of experimental design in the 1920s as an accurate methodology for the proper design of experiments. Among his major ideas, was the importance of randomization—the random assignment of individuals to different groups for the experiment; replication—to reduce uncertainty, measurements should be repeated and experiments replicated to identify sources of variation; blocking—to arrange experimental units into groups of units that are similar to each other, and thus reducing irrelevant sources of variation; use of factorial experiments—efficient at evaluating the effects and possible interactions of several independent factors.The British Medical Research Council officially recognized the importance of clinical trials from the 1930s. The council established the Therapeutic Trials Committee to advise and assist in the arrangement of properly controlled clinical trials on new products that seem likely on experimental grounds to have value in the treatment of disease.The first randomised curative trial was carried out at the MRC Tuberculosis Research Unit by Sir Geoffrey Marshall (1887–1982). The trial, carried out between 1946 and 1947, aimed to test the efficacy of the chemical streptomycin for curing pulmonary tuberculosis. The trial was both double-blind and placebo-controlled.The methodology of clinical trials was further developed by Sir Austin Bradford Hill, who had been involved in the streptomycin trials. From the 1920s, Hill applied statistics to medicine, attending the lectures of renowned mathematician Karl Pearson, among others. He became famous for a landmark study carried out in collaboration with Richard Doll on the correlation between smoking and lung cancer. They carried out a case-control study in 1950, which compared lung cancer patients with matched control and also began a sustained long-term prospective study into the broader issue of smoking and health, which involved studying the smoking habits and health of more than 30,000 doctors over a period of several years. His certificate for election to the Royal Society called him ""... the leader in the development in medicine of the precise experimental methods now used nationally and internationally in the evaluation of new therapeutic and prophylactic agents.""
International clinical trials day is celebrated on 20 May.The acronyms used in the titling of clinical trials is often contrived, and has been the subject of derision.",466,"Clinical trial
Modern trials

Sir Ronald A. Fisher, while working for the Rothamsted experimental station in the field of agriculture, developed his Principles of experimental design in the 1920s as an accurate methodology for the proper design of experiments. Among his major ideas, was the importance of randomization—the random assignment of individuals to different groups for the experiment; replication—to reduce uncertainty, measurements should be repeated and experiments replicated to identify sources of variation; blocking—to arrange experimental units into groups of units that are similar to each other, and thus reducing irrelevant sources of variation; use of factorial experiments—efficient at evaluating the effects and possible interactions of several independent factors.The British Medical Research Council officially recognized the importance of clinical trials from the 1930s. The council established the Therapeutic Trials Committee to advise and assist in the arrangement of properly controlled clinical trials on new products that seem likely on experimental grounds to have value in the treatment of disease.The first randomised curative trial was carried out at the MRC Tuberculosis Research Unit by Sir Geoffrey Marshall (1887–1982). The trial, carried out between 1946 and 1947, aimed to test the efficacy of the chemical streptomycin for curing pulmonary tuberculosis. The trial was both double-blind and placebo-controlled.The methodology of clinical trials was further developed by Sir Austin Bradford Hill, who had been involved in the streptomycin trials. From the 1920s, Hill applied statistics to medicine, attending the lectures of renowned mathematician Karl Pearson, among others. He became famous for a landmark study carried out in collaboration with Richard Doll on the correlation between smoking and lung cancer. They carried out a case-control study in 1950, which compared lung cancer patients with matched control and also began a sustained long-term prospective study into the broader issue of smoking and health, which involved studying the smoking habits and health of more than 30,000 doctors over a period of several years. His certificate for election to the Royal Society called him ""... the leader in the development in medicine of the precise experimental methods now used nationally and internationally in the evaluation of new therapeutic and prophylactic agents.""
International clinical trials day is celebrated on 20 May.The acronyms used in the titling of clinical trials is often contrived, and has been the subject of derision.","1. What is the importance of clinical trials?
2. Who developed the principles of experimental design?
3. What was the first randomised curative trial?
4. What was the methodology of clinical trials developed by Sir Austin Bradford Hill?
5. What is the significance of International clinical trials day?","1. Clinical trials are important because they help to evaluate the efficacy of new products that may be used in the treatment of disease.
2. Sir Ronald A. Fisher developed the principles of experimental design.
3. The first randomised curative trial was carried out by Sir Geoffrey Marshall.
4. The methodology of clinical trials was developed by Sir Austin Bradford Hill.
5. International clinical trials day is celebrated on 20 May to commemorate the establishment of the Therapeutic Trials Committee by the British Medical Research Council in the 1930s."
Clinical trial,Types,"Clinical trials are classified by the research objective created by the investigators.
In an observational study, the investigators observe the subjects and measure their outcomes. The researchers do not actively manage the study.
In an interventional study, the investigators give the research subjects an experimental drug, surgical procedure, use of a medical device, diagnostic or other intervention to compare the treated subjects with those receiving no treatment or the standard treatment. Then the researchers assess how the subjects' health changes.Trials are classified by their purpose. After approval for human research is granted to the trial sponsor, the U.S. Food and Drug Administration (FDA) organizes and monitors the results of trials according to type:
Prevention trials look for ways to prevent disease in people who have never had the disease or to prevent a disease from returning. These approaches may include drugs, vitamins or other micronutrients, vaccines, or lifestyle changes.
Screening trials test for ways to identify certain diseases or health conditions.
Diagnostic trials are conducted to find better tests or procedures for diagnosing a particular disease or condition.
Treatment trials test experimental drugs, new combinations of drugs, or new approaches to surgery or radiation therapy.
Quality of life trials (supportive care trials) evaluate how to improve comfort and quality of care for people with a chronic illness.
Genetic trials are conducted to assess the prediction accuracy of genetic disorders making a person more or less likely to develop a disease.
Epidemiological trials have the goal of identifying the general causes, patterns or control of diseases in large numbers of people.
Compassionate use trials or expanded access trials provide partially tested, unapproved therapeutics to a small number of patients who have no other realistic options. Usually, this involves a disease for which no effective therapy has been approved, or a patient who has already failed all standard treatments and whose health is too compromised to qualify for participation in randomized clinical trials. Usually, case-by-case approval must be granted by both the FDA and the pharmaceutical company for such exceptions.
Fixed trials consider existing data only during the trial's design, do not modify the trial after it begins, and do not assess the results until the study is completed.
Adaptive clinical trials use existing data to design the trial, and then use interim results to modify the trial as it proceeds. Modifications include dosage, sample size, drug undergoing trial, patient selection criteria and ""cocktail"" mix. Adaptive trials often employ a Bayesian experimental design to assess the trial's progress. In some cases, trials have become an ongoing process that regularly adds and drops therapies and patient groups as more information is gained. The aim is to more quickly identify drugs that have a therapeutic effect and to zero in on patient populations for whom the drug is appropriate.Clinical trials are conducted typically in four phases, with each phase using different numbers of subjects and having a different purpose to construct focus on identifying a specific effect.",603,"Clinical trial
Types

Clinical trials are classified by the research objective created by the investigators.
In an observational study, the investigators observe the subjects and measure their outcomes. The researchers do not actively manage the study.
In an interventional study, the investigators give the research subjects an experimental drug, surgical procedure, use of a medical device, diagnostic or other intervention to compare the treated subjects with those receiving no treatment or the standard treatment. Then the researchers assess how the subjects' health changes.Trials are classified by their purpose. After approval for human research is granted to the trial sponsor, the U.S. Food and Drug Administration (FDA) organizes and monitors the results of trials according to type:
Prevention trials look for ways to prevent disease in people who have never had the disease or to prevent a disease from returning. These approaches may include drugs, vitamins or other micronutrients, vaccines, or lifestyle changes.
Screening trials test for ways to identify certain diseases or health conditions.
Diagnostic trials are conducted to find better tests or procedures for diagnosing a particular disease or condition.
Treatment trials test experimental drugs, new combinations of drugs, or new approaches to surgery or radiation therapy.
Quality of life trials (supportive care trials) evaluate how to improve comfort and quality of care for people with a chronic illness.
Genetic trials are conducted to assess the prediction accuracy of genetic disorders making a person more or less likely to develop a disease.
Epidemiological trials have the goal of identifying the general causes, patterns or control of diseases in large numbers of people.
Compassionate use trials or expanded access trials provide partially tested, unapproved therapeutics to a small number of patients who have no other realistic options. Usually, this involves a disease for which no effective therapy has been approved, or a patient who has already failed all standard treatments and whose health is too compromised to qualify for participation in randomized clinical trials. Usually, case-by-case approval must be granted by both the FDA and the pharmaceutical company for such exceptions.
Fixed trials consider existing data only during the trial's design, do not modify the trial after it begins, and do not assess the results until the study is completed.
Adaptive clinical trials use existing data to design the trial, and then use interim results to modify the trial as it proceeds. Modifications include dosage, sample size, drug undergoing trial, patient selection criteria and ""cocktail"" mix. Adaptive trials often employ a Bayesian experimental design to assess the trial's progress. In some cases, trials have become an ongoing process that regularly adds and drops therapies and patient groups as more information is gained. The aim is to more quickly identify drugs that have a therapeutic effect and to zero in on patient populations for whom the drug is appropriate.Clinical trials are conducted typically in four phases, with each phase using different numbers of subjects and having a different purpose to construct focus on identifying a specific effect.","1. What are the different types of clinical trials?
2. What is the purpose of a screening trial?
3. What is the purpose of a treatment trial?
4. What is the purpose of a quality of life trial?
5. What is the purpose of a genetic trial?
6. What is the purpose of an epidemiological trial?
7. What is the purpose of a compassionate use trial?
8. What is the purpose of a fixed trial?
9. What is the purpose of an adaptive clinical trial?","1. The different types of clinical trials are observational studies, interventional studies, prevention trials, screening trials, diagnostic trials, treatment trials, quality of life trials, genetic trials, and epidemiological trials.
2. The purpose of a screening trial is to test for ways to identify certain diseases or health conditions.
3. The purpose of a treatment trial is to test experimental drugs, new combinations of drugs, or new approaches to surgery or radiation therapy.
4. The purpose of a quality of life trial is to evaluate how to improve comfort and quality of care for people with a chronic illness.
5. The purpose of a genetic trial is to assess the prediction accuracy of genetic disorders making a person more or less likely to develop a disease.
6. The purpose of an epidemiological trial is to identify the general causes, patterns or control of diseases in large numbers of people.
7. The purpose of a compassionate use trial is to provide partially tested, unapproved therapeutics to a small number of patients who have no other realistic options.
8. The purpose of a fixed trial is to consider existing data only during the trial's design, do not modify the trial after it begins, and do not assess the results until the study is completed.
9. The purpose"
Clinical trial,Phases,"Clinical trials involving new drugs are commonly classified into five phases. Each phase of the drug approval process is treated as a separate clinical trial. The drug development process will normally proceed through phases I–IV over many years, frequently involving a decade or longer. If the drug successfully passes through phases I, II, and III, it will usually be approved by the national regulatory authority for use in the general population. Phase IV trials are performed after the newly approved drug, diagnostic or device is marketed, providing assessment about risks, benefits, or best uses.",113,"Clinical trial
Phases

Clinical trials involving new drugs are commonly classified into five phases. Each phase of the drug approval process is treated as a separate clinical trial. The drug development process will normally proceed through phases I–IV over many years, frequently involving a decade or longer. If the drug successfully passes through phases I, II, and III, it will usually be approved by the national regulatory authority for use in the general population. Phase IV trials are performed after the newly approved drug, diagnostic or device is marketed, providing assessment about risks, benefits, or best uses.","1. What are the five phases of a clinical trial?
2. What is the purpose of each phase?
3. How long does the drug development process usually take?
4. What happens if the drug successfully passes through the first three phases?
5. What is the purpose of phase IV trials?","1. The five phases of a clinical trial are: phase I, phase II, phase III, phase IV, and phase V.
2. The purpose of each phase is as follows:

Phase I: Test the drug on a small number of people to determine if it is safe
Phase II: Test the drug on a larger number of people to determine if it is effective
Phase III: Test the drug on a large number of people to determine if it is safe and effective
Phase IV: Monitor the drug after it is approved for use in the general population
Phase V: Study the long-term effects of the drug

3. The drug development process usually takes a decade or longer.
4. If the drug successfully passes through phases I, II, and III, it will usually be approved by the national regulatory authority for use in the general population.
5. The purpose of phase IV trials is to assess the risks, benefits, or best uses of the drug after it is approved for use in the general population."
Clinical trial,Trial design,"A fundamental distinction in evidence-based practice is between observational studies and randomized controlled trials. Types of observational studies in epidemiology, such as the cohort study and the case-control study, provide less compelling evidence than the randomized controlled trial. In observational studies, the investigators retrospectively assess associations between the treatments given to participants and their health status, with potential for considerable errors in design and interpretation.A randomized controlled trial can provide compelling evidence that the study treatment causes an effect on human health.Currently, some Phase II and most Phase III drug trials are designed as randomized, double-blind, and placebo-controlled.

Randomized: Each study subject is randomly assigned to receive either the study treatment or a placebo.
Blind: The subjects involved in the study do not know which study treatment they receive. If the study is double-blind, the researchers also do not know which treatment a subject receives. This intent is to prevent researchers from treating the two groups differently. A form of double-blind study called a ""double-dummy"" design allows additional insurance against bias. In this kind of study, all patients are given both placebo and active doses in alternating periods.
Placebo-controlled: The use of a placebo (fake treatment) allows the researchers to isolate the effect of the study treatment from the placebo effect.Clinical studies having small numbers of subjects may be ""sponsored"" by single researchers or a small group of researchers, and are designed to test simple questions or feasibility to expand the research for a more comprehensive randomized controlled trial.",314,"Clinical trial
Trial design

A fundamental distinction in evidence-based practice is between observational studies and randomized controlled trials. Types of observational studies in epidemiology, such as the cohort study and the case-control study, provide less compelling evidence than the randomized controlled trial. In observational studies, the investigators retrospectively assess associations between the treatments given to participants and their health status, with potential for considerable errors in design and interpretation.A randomized controlled trial can provide compelling evidence that the study treatment causes an effect on human health.Currently, some Phase II and most Phase III drug trials are designed as randomized, double-blind, and placebo-controlled.

Randomized: Each study subject is randomly assigned to receive either the study treatment or a placebo.
Blind: The subjects involved in the study do not know which study treatment they receive. If the study is double-blind, the researchers also do not know which treatment a subject receives. This intent is to prevent researchers from treating the two groups differently. A form of double-blind study called a ""double-dummy"" design allows additional insurance against bias. In this kind of study, all patients are given both placebo and active doses in alternating periods.
Placebo-controlled: The use of a placebo (fake treatment) allows the researchers to isolate the effect of the study treatment from the placebo effect.Clinical studies having small numbers of subjects may be ""sponsored"" by single researchers or a small group of researchers, and are designed to test simple questions or feasibility to expand the research for a more comprehensive randomized controlled trial.","1. What is the difference between observational studies and randomized controlled trials?
2. What are the benefits of a randomized controlled trial?
3. How are Phase II and III drug trials typically designed?
4. What is the purpose of a placebo in a clinical study?","1. The main difference between observational studies and randomized controlled trials is that observational studies assess associations between treatments and health outcomes retrospectively, while randomized controlled trials provide compelling evidence that the study treatment causes an effect on human health.
2. The benefits of a randomized controlled trial are that it can provide compelling evidence that the study treatment causes an effect on human health, and it can also help to eliminate bias.
3. Phase II and III drug trials are typically designed as randomized, double-blind, and placebo-controlled.
4. The purpose of a placebo in a clinical study is to eliminate the effect of the placebo effect."
